VH101;Hyundai;Modelo G;2001;99708;Usado;31514.66
VH102;BMW;Modelo D;2001;189153;Usado;25725.56
VH103;Honda;Modelo B;2016;1819;Usado;37531.71
VH104;Honda;Modelo G;2012;193540;Usado;46992.84
VH105;Audi;Modelo A;2023;0;Nuevo;29547.81
VH106;Toyota;Modelo C;2023;0;Nuevo;30346.7
VH107;Ford;Modelo C;2011;135839;Usado;34890.24
VH108;Chevrolet;Modelo I;2021;65963;Usado;16015.4
VH109;BMW;Modelo B;2002;136634;Usado;37212.18
VH110;Kia;Modelo I;2018;10351;Usado;16216.41
VH111;Honda;Modelo H;2012;190921;Usado;13670.42
VH112;Ford;Modelo I;2006;24469;Usado;34896.47
VH113;Kia;Modelo J;2019;146713;Usado;6216.59
VH114;Ford;Modelo F;2010;191047;Usado;42774.31
VH115;BMW;Modelo H;2011;197164;Usado;41990.19
VH116;Hyundai;Modelo F;2006;64359;Usado;41124.72
VH117;Honda;Modelo F;2021;123911;Usado;14319.07
VH118;Chevrolet;Modelo J;2016;33843;Usado;45494.27
VH119;Hyundai;Modelo J;2003;137417;Usado;14655.91
VH120;Nissan;Modelo D;2021;140584;Usado;39842.12
VH121;Hyundai;Modelo F;2006;174066;Usado;8810.33
VH122;Audi;Modelo F;2021;190097;Usado;41238.29
VH123;Hyundai;Modelo B;2003;142633;Usado;33008.24
VH124;Ford;Modelo C;2011;29791;Usado;37172.8
VH125;Hyundai;Modelo J;2002;81801;Usado;7033.22
