ID-3357,Disco Duro SSD,Alta velocidad y capacidad,Almacenamiento,56,150.88,TechParts
ID-4036,Tarjeta Gráfica GTX 1080,Gráficos de última generación,Gráficos,48,380.20,GlobalTech
ID-7826,Procesador Intel i7,Rendimiento superior,Procesadores,26,357.12,ProComponentes
ID-6180,Memoria RAM 16GB,Mejora el rendimiento multitarea,Memoria,63,172.96,PCMaster
ID-4453,Fuente de Poder 750W,Energía estable y eficiente,Energía,58,275.10,HardZone
ID-8787,Placa Base ASUS,Compatible con múltiples CPUs,Placas Base,39,107.75,TechWorld
ID-8243,Monitor 27' 4K,Calidad de imagen excepcional,Monitores,21,386.96,PixelPlus
ID-9628,Teclado Mecánico RGB,Tacto y respuesta excepcionales,Periféricos,12,159.77,GamingGear
ID-2871,Ratón Óptico Gamer,Precisión y ergonomía,Periféricos,19,487.65,HyperTech
ID-2250,Refrigeración Líquida CPU,Enfriamiento eficiente y silencioso,Enfriamiento,69,134.56,CoolingSolutions
ID-4357,Caja ATX,Espaciosa y con buen flujo de aire,Cajas,15,99.99,CaseMaster
ID-5786,Disco Duro Externo 2TB,Portátil y resistente,Almacenamiento,45,199.49,StoragePro
ID-1934,Tarjeta de Sonido,Sonido de alta fidelidad,Audio,37,89.95,SoundTech
ID-2879,Webcam HD,Vídeo nítido y claro,Accesorios,52,75.00,AccesoryHub
ID-5647,Micrófono USB,Sonido claro y nítido,Audio,40,45.67,AudioElite
ID-8708,Adaptador WiFi,Conexión rápida y estable,Redes,18,349.17,NetworkSolutions
ID-2079,Cable HDMI 2m,Transmisión de datos de alta calidad,Cables,29,330.15,CableWorld
ID-8468,Ventilador de Caja,Refrigeración adicional,Enfriamiento,2,121.85,CoolingTech
ID-7362,Kit de Limpieza PC,Mantenimiento óptimo del PC,Accesorios,26,378.11,CleanPro
ID-5026,Altavoces 2.1,Sonido envolvente y potente,Audio,12,471.39,SoundSystem
ID-8487,Auriculares Gamer,Confort y calidad de sonido,Audio,95,201.46,HeadZone
ID-7074,Tarjeta de Red Ethernet,Conexión fiable y rápida,Redes,77,203.61,NetworkPro
ID-9434,Router Inalámbrico,Conexión inalámbrica estable,Redes,25,345.45,WirelessTech
ID-7572,UPS 1000VA,Protección contra apagones,Energía,55,144.46,PowerSafe
ID-1130,Soporte para Monitor,Optimiza espacio y visión,Accesorios,76,194.22,ErgoTech
